Дата,День недели,Тип тренировки,Подтип / Цель,Время (мин),Дистанция (км),Средний пульс,Макс. пульс,Средний темп (мин/км),Набор (м),Самочувствие (1–5),Вес (кг),Комментарий / Ощущения,Усталость (1–5)
01.10.2025,ср,,,,,,,,,,,,
02.10.2025,чт,,,,,,,,,,,,
03.10.2025,пт,,,,,,,,,,,,
04.10.2025,сб,,,,,,,,,,,,
05.10.2025,вс,,,,,,,,,,,,
06.10.2025,пн,,,,,,,,,,,,
07.10.2025,вт,Бег,Восстановительный,26,"4,42",146,162,5:55,60,,,,
08.10.2025,ср,,,,,,,,,,,,
09.10.2025,чт,Бег,Восстановительный,31,"5,28",150,164,5:58,20,,,,
10.10.2025,пт,,,,,,,,,,,,
11.10.2025,сб,Бег,Восстановительный,43,"8,02",159,183,5:29,35,,,,
12.10.2025,вс,,,,,,,,,,,,
13.10.2025,пн,,,,,,,,,,,,
14.10.2025,вт,Бег,Восстановительный,46,8.2,150,172,5:41,65,,,,
15.10.2025,ср,,,,,,,,,,,,
16.10.2025,чт,,,,,,,,,,,,
17.10.2025,пт,,,,,,,,,,,,
18.10.2025,сб,,,,,,,,,,,,
19.10.2025,вс,,,,,,,,,,,,
20.10.2025,пн,,,,,,,,,,,,
21.10.2025,вт,,,,,,,,,,,,
22.10.2025,ср,,,,,,,,,,,,
23.10.2025,чт,,,,,,,,,,,,
24.10.2025,пт,,,,,,,,,,,,
25.10.2025,сб,,,,,,,,,,,,
26.10.2025,вс,,,,,,,,,,,,
27.10.2025,пн,,,,,,,,,,,,
28.10.2025,вт,,,,,,,,,,,,
29.10.2025,ср,,,,,,,,,,,,
30.10.2025,чт,,,,,,,,,,,,
31.10.2025,пт,,,,,,,,,,,,