День,Статус кардионагрузки,Показатель кардионагрузки,Кардионагрузка (TRIMP — Training Impulse),Напряжение,Выносливость
08.12.2025,Детренированность,0.7,0,30,41
09.12.2025,Детренированность,0.8,104,31,40
10.12.2025,Поддержание,1.0,76,42,42
11.12.2025,Поддержание,1.0,0,42,42
12.12.2025,Перетренированность,1.4,111,58,42
13.12.2025,Перетренированность,1.5,0,58,38
14.12.2025,Перетренированность,1.5,178,67,44
15.12.2025,Перетренированность,1.5,0,67,44
16.12.2025,Перетренированность,1.3,70,62,47
17.12.2025,Эффективность,1.2,0,51,43
18.12.2025,,,0,51,43
19.12.2025,Эффективность,1.0,84,47,46
20.12.2025,Эффективность,1.2,84,59,49
21.12.2025,Поддержание,1.0,122,51,53
22.12.2025,Поддержание,1.0,0,51,53
23.12.2025,Эффективность,1.1,147,63,56
24.12.2025,Эффективность,1.1,0,63,56
25.12.2025,Эффективность,1.3,0,63,50
26.12.2025,Перетренированность,1.3,110,66,50
27.12.2025,Перетренированность,1.4,165,78,56
28.12.2025,Эффективность,1.2,0,60,52
29.12.2025,Эффективность,1.2,0,60,52
30.12.2025,Эффективность,1.1,134,59,54
31.12.2025,Эффективность,1.2,57,67,56
01.01.2026,Эффективность,1.2,0,67,56
02.01.2026,Эффективность,1.1,103,66,59
03.01.2026,Поддержание,0.9,81,54,62
04.01.2026,Поддержание,0.9,0,54,58
05.01.2026,Поддержание,0.9,0,54,58
06.01.2026,Восстановление,0.6,0,34,56
07.01.2026,Восстановление,0.5,0,26,52
08.01.2026,Восстановление,0.5,0,26,52
09.01.2026,Восстановление,0.2,0,12,48
10.01.2026,Восстановление,0,0,0,48
11.01.2026,Детренированность,0,0,0,41
12.01.2026,Детренированность,0,0,0,41
13.01.2026,Детренированность,0,0,0,39
14.01.2026,Детренированность,0,0,0,39
15.01.2026,Детренированность,0,0,0,39
16.01.2026,Детренированность,0,0,0,36
17.01.2026,Детренированность,0,0,0,33
18.01.2026,Детренированность,0,0,0,31
19.01.2026,Детренированность,0,0,0,31
20.01.2026,Детренированность,0,0,0,25
21.01.2026,Детренированность,0,0,0,25
22.01.2026,Детренированность,0,0,0,25
23.01.2026,Детренированность,0,0,0,21
24.01.2026,Детренированность,0,0,0,16
25.01.2026,Детренированность,0,0,0,16
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,